ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"173.212.248.58","elite","AS51167","DE","Contabo GmbH","82","Contabo GmbH","11103","socks4","71","1","2024-07-24T08:17:37.608Z","52","3893","7538"
"197.254.7.178","elite","AS15808","KE","ACCESSKENYA","193","Law Society","4145","socks4","3505","1","2024-07-24T08:17:37.591Z","99","823","834"
"89.161.89.161","elite","AS39375","PL","Telekomunikacja Podlasie sp. z o.o.","31","TPODLASIE CATV Network","5678","socks4","5405","1","2024-07-24T08:17:37.391Z","100","7590","7622"
"116.102.244.96","elite","AS7552","VN","Viettel Corporation","258","Viettel Group","5678","socks4","74","81","2024-07-24T08:17:37.398Z","62","4679","7569"
"162.243.55.12","elite","AS14061","US","DigitalOcean, LLC","81","Digital Ocean","50941","socks4","3303","2","2024-07-24T08:17:37.505Z","100","849","849"
"203.24.108.194","elite","AS209242","CY","Cloudflare London, LLC","2","Lachtaristo Holdings Limited","80","socks4","4902","2","2024-07-24T08:17:37.593Z","100","7433","7434"
"138.97.0.66","elite","AS262346","BR","FP Telecomunicacoes Ltda","288","FP Telecomunicacoes Ltda","4145","socks4","70","82","2024-07-24T08:17:37.602Z","78","5831","7499"
"82.137.250.156","elite","AS29256","SY","190 Internet Service Provider","60","N/A","4145","socks4","2403","2","2024-07-24T08:17:37.507Z","89","761","851"
"103.47.93.228","elite","AS134058","IN","Broban Internet Services Pvt.ltd","171","Broban  PVT Ltd.","1080","socks4","234","1","2024-07-24T08:17:37.601Z","99","7361","7420"
"202.162.212.163","elite","AS9341","ID","PT Indonesia Comnets Plus","162","N/A","4153","socks4","669","2","2024-07-24T08:17:37.489Z","98","445","453"
"103.47.93.199","elite","AS134058","IN","Broban Internet Services Pvt.ltd","280","Broban  PVT Ltd.","1080","socks4","73","1","2024-07-24T08:17:37.301Z","99","7527","7597"
"104.19.109.209","elite","AS13335","CA","Cloudflare, Inc.","3","Cloudflare, Inc.","80","socks5","71","1","2024-07-24T08:17:37.496Z","100","7465","7466"
"187.63.9.62","elite","AS28658","BR","Gigalink de Nova Friburgo Soluções em Rede Multimi","198","Gigalink de Nova Friburgo Soluções em Rede Multimi","63253","socks5","3494","1","2024-07-24T08:17:37.598Z","99","834","842"
"71.167.151.15","elite","AS701","US","Verizon Business","84","Verizon Business","8080","socks5","5000","1","2024-07-24T08:17:37.599Z","100","7367","7374"
"109.120.156.109","elite","AS210644","SE","Aeza International LTD","2","Aeza International LTD","80","http","5102","76105","2024-07-24T08:17:37.692Z","100","22","22"
"187.44.146.2","elite","AS28186","BR","ITS TELECOMUNICACOES LTDA","181","ITS TELECOMUNICACOES LTDA","32139","socks4","963","1","2024-07-24T08:17:37.494Z","87","6680","7644"
"85.199.71.66","elite","AS12693","DE","e.discom","85","KabelSat Bergen GmbH","8080","socks5","4898","2","2024-07-24T08:17:37.588Z","100","7439","7445"
"8.210.206.107","elite","AS45102","HK","Alibaba (US) Technology Co., Ltd.","300","Alibaba.com Singapore E-Commerce Private Limited","59394","socks4","5189","2","2024-07-24T08:17:37.305Z","90","6792","7511"
"187.102.217.3","transparent","AS270004","AR","Cretton Lisandro Maximiliano","238","N/A","999","http","3200","20198","2024-07-24T08:17:37.402Z","100","28","28"
"187.17.201.203","elite","AS28265","BR","Abcrede Provedor De Internet Eireli","206","Abcrede Provedor De Internet Ltda","38737","socks4","2102","1","2024-07-24T08:17:37.406Z","97","763","785"
"185.119.59.63","elite","AS9123","RU","TimeWeb Ltd.","82","TimeWeb Ltd","7777","socks5","1022","1","2024-07-24T08:17:37.501Z","84","6317","7522"
"1.0.0.123","elite","AS13335","AU","Cloudflare, Inc","3","APNIC and Cloudflare DNS Resolver project","80","socks5","2897","1","2024-07-24T08:17:37.306Z","100","711","711"
"106.40.241.108","elite","AS4134","CN","Chinanet","285","Chinanet HN","3256","socks4","789","1","2024-07-24T08:17:28.495Z","54","4051","7483"
"108.179.219.56","elite","AS19871","US","WEBSITEWELCOME.COM","97","web.jdwdb.com","16458","socks4","3398","1","2024-07-24T08:17:28.091Z","100","683","685"
"38.242.240.167","elite","AS51167","DE","Contabo GmbH","14","Contabo GmbH","49923","socks4","583","1","2024-07-24T08:17:28.402Z","98","464","472"
"186.226.171.94","elite","AS53180","BR","Infortel Comunicacoes Ltda","209","Infortel Comunicacoes Ltda","1080","socks4","2994","1","2024-07-24T08:17:28.396Z","99","7483","7582"
"37.252.86.97","elite","AS44395","AM","Ucom Cjsc","81","N/A","5678","socks4","5100","2","2024-07-24T08:17:28.395Z","99","7486","7570"
"91.185.236.24","elite","N/A","RU","Sakhatelecom","152","N/A","4145","socks4","1644","1","2024-07-24T08:17:28.098Z","97","7326","7572"
"36.37.180.40","elite","AS38623","KH","VIETTEL (CAMBODIA) PTE","194","Viettel (cambodia) Pte., Ltd.","1080","socks4","143","1","2024-07-24T08:17:28.190Z","56","454","816"
"149.20.253.126","elite","AS18615","US","Mainstream Fiber Networks, LLC","97","Mainstream Fiber Networks, LLC","12551","socks4","74","1","2024-07-24T08:17:28.398Z","100","7579","7594"
"171.247.243.81","elite","AS7552","VN","Viettel Corporation","206","VIETEL","1080","socks4","2020","1","2024-07-24T08:17:28.099Z","91","588","647"
"195.98.92.39","elite","AS6856","RU","Informsvyaz-Chernozemye","96","N/A","1080","socks5","3084","1","2024-07-24T08:17:28.389Z","93","789","849"
"109.202.11.44","transparent","AS8711","RU","JSC Avantel","83","Severen-Telecom. Banraul metropolitan network","3129","http","321","17497","2024-07-24T08:17:28.188Z","100","6","6"
"218.106.167.98","elite","AS4808","CN","China Unicom CncNet","181","Beijing Yuejing Corp","4145","socks4","3204","3","2024-07-24T08:17:28.301Z","92","7030","7621"
"223.25.98.82","elite","AS9341","ID","PT Indonesia Comnets Plus","291","Sinerginet","5678","socks4","3704","1","2024-07-24T08:17:28.303Z","92","7017","7660"
"182.120.161.228","elite","AS4837","CN","China Unicom Henan Province Network","197","N/A","8080","socks4","4592","1","2024-07-24T08:17:28.103Z","73","5477","7536"
"166.62.35.102","elite","AS398101","US","GoDaddy.com, LLC","139","GoDaddy.com, LLC","49155","socks4","1085","2","2024-07-24T08:17:28.494Z","100","832","834"
"103.215.24.162","elite","AS9341","ID","PT.Indonesia Comnets Plus","181","N/A","5678","socks4","3090","1","2024-07-24T08:17:28.400Z","54","4090","7520"
"197.245.36.213","elite","AS11845","ZA","Vox Telecom","178","Vox Telecom (Pty) Ltd","5678","socks4","298","1","2024-07-24T08:17:28.089Z","77","5861","7564"
"91.205.129.154","elite","AS47895","RU","LTD \"Erline\"","75","R-Line Ltd","36931","socks4","4499","1","2024-07-24T08:17:28.094Z","96","7183","7481"
"93.171.224.45","elite","AS211570","UA","PE TV and Radio Company Kentavr-TV","83","PE TV and Radio Company Kentavr-TV","4153","socks4","3985","1","2024-07-24T08:17:28.405Z","100","128","128"
"101.43.191.233","elite","AS45090","CN","Shenzhen Tencent Computer Systems Company Limited","284","Tencent Cloud Computing (Beijing) Co., Ltd","2080","socks5","1710","77","2024-07-24T08:17:28.302Z","88","6605","7499"
"51.77.73.68","elite","AS16276","ES","OVH SAS","11","Sastre Vazquez Antonio","31979","socks4","2813","84","2024-07-24T08:17:07.399Z","100","7479","7487"
"170.79.182.82","elite","AS264800","AR","Techtron Argentina S.A.","287","Techtron Argentina S.A","11337","socks4","5402","1","2024-07-24T08:17:07.191Z","100","854","858"
"103.200.135.226","elite","AS134739","MM","AGB Communication Co.Ltd","173","N/A","4145","socks4","705","81","2024-07-24T08:17:07.190Z","95","724","759"
"184.178.172.17","elite","AS22773","US","Cox Communications Inc.","168","Cox Communications Inc.","4145","socks4","994","1","2024-07-24T08:17:07.202Z","100","453","455"
"185.105.237.231","elite","AS197946","IR","Amnpardaz Soft Corporation","8","Amnpardaz Soft Corporation","808","socks4","3405","1","2024-07-24T08:17:07.200Z","100","7386","7409"
"61.7.138.52","elite","AS131090","TH","CAT Telecom Public Company Limited","214","National Telecom Public Company Limited","5678","socks4","709","1","2024-07-24T08:17:07.106Z","74","5572","7575"
"95.217.201.196","elite","AS24940","FI","Hetzner Online GmbH","39","HETZNER-DC","10037","socks4","70","1","2024-07-24T08:17:07.402Z","100","7617","7618"
"94.74.104.32","elite","AS136907","HK","Huawei International Pte. LTD","303","N/A","39901","socks4","4403","1","2024-07-24T08:17:07.194Z","100","818","822"
"46.160.209.155","elite","AS35539","RU","Elsite","72","Computers and Peripherals Ltd.","8088","socks4","1409","85","2024-07-24T08:17:07.199Z","97","341","352"
"38.127.179.84","elite","AS174","US","Cogent Communications","80","Torlandia Trading SRL","11537","socks4","3098","1","2024-07-24T08:17:07.401Z","100","7511","7523"
